number,images,width,height,scale,length
25,1021,284,511,1.7992957746478873,44471
32,1028,274,511,1.864963503649635,29753
83,1075,271,511,1.8856088560885609,10194
86,1078,274,511,1.864963503649635,18676
97,1088,188,306,1.627659574468085,5601
98,1089,321,511,1.5919003115264798,14519
104,1094,167,277,1.658682634730539,1848
107,1097,319,511,1.6018808777429467,26124
108,1098,312,511,1.6378205128205128,12075
109,1099,271,511,1.8856088560885609,35635
117,1105,286,511,1.7867132867132867,39979
120,1108,284,500,1.7605633802816902,6501
128,1115,308,511,1.6590909090909092,23273
147,1133,247,409,1.6558704453441295,3083
167,1151,266,418,1.5714285714285714,3118
174,1158,279,511,1.831541218637993,46813
180,1163,81,150,1.8518518518518519,2029
217,1197,240,415,1.7291666666666667,9199
220,12,270,511,1.8925925925925926,13839
224,1202,170,270,1.588235294117647,2851
234,1211,314,511,1.627388535031847,8295
238,1215,240,405,1.6875,5135
239,1216,196,319,1.6275510204081634,12797
240,1217,208,319,1.5336538461538463,5489
253,1229,308,511,1.6590909090909092,58899
258,1233,293,511,1.7440273037542662,3437
312,1282,245,368,1.5020408163265306,13982
322,1291,76,126,1.6578947368421053,1316
323,1292,84,142,1.6904761904761905,1459
332,1300,170,273,1.6058823529411765,6319
336,1304,219,357,1.63013698630137,8890
357,1323,88,143,1.625,2409
369,1334,199,358,1.7989949748743719,12403
373,1338,155,290,1.8709677419354838,7350
388,1351,224,337,1.5044642857142858,15045
392,1355,164,271,1.6524390243902438,1849
408,137,265,403,1.5207547169811322,5318
424,1384,272,511,1.8786764705882353,89953
447,1404,289,511,1.768166089965398,27947
448,1405,230,365,1.5869565217391304,29182
458,1414,254,416,1.6377952755905512,11982
471,1426,291,439,1.5085910652920962,2772
486,144,121,183,1.512396694214876,977
497,145,121,183,1.512396694214876,977
525,1475,336,506,1.505952380952381,9044
533,1482,304,480,1.5789473684210527,27489
546,1494,328,511,1.5579268292682926,37312
549,1497,261,439,1.681992337164751,21796
572,1518,330,511,1.5484848484848486,19092
581,1526,194,355,1.8298969072164948,6795
585,153,80,137,1.7125,3058
587,1531,176,308,1.75,3963
591,1535,287,511,1.7804878048780488,24239
594,1538,270,431,1.5962962962962963,10525
627,1568,289,511,1.768166089965398,23837
